candidate_id,ministry_code,field_name,sector_name,program_code,fiscal_year,account_type,performance_program_name,program_level_priority_reason_context,drilldown_selection_scope,program_level_reported_target_context_signal,program_context_grain,program_context_disclaimer,project_performance_attributed,drilldown_role,project_id,account_code,account_name_budget_api,activity_code,activity_name_budget_api,subactivity_code,project_name,project_original_budget,project_current_budget,project_expenditure,project_remaining_amount,project_carryover,project_unused,execution_rate,budget_share_within_candidate,remaining_share_within_candidate,budget_rank_within_candidate,project_financial_signal_types,project_status,structural_change_type,financial_quality_level,rank_confidence,budget_ranking_eligible,execution_ranking_eligible,source_trace_v2,work_lane,work_item_status,work_queue_order,work_queue_order_within_ministry,mean_scenario_rank,scenario_rank_range,mean_scenario_rank_within_ministry,scenario_rank_range_within_ministry,exploratory_consensus_order,all_scenario_top_5,all_scenario_top_5_within_ministry,review_intensity,review_intensity_order,next_action,evidence_status,independent_signal_family_count,repeated_signal_family_count,execution_review_signal,project_review_group,project_review_order_within_candidate,review_sequence_overall,review_sequence_within_ministry,project_evidence_rank
019:2022:사회복지:노동:4000:FUND,019,사회복지,노동,4000,2022,FUND,산재보험,PERFORMANCE_BELOW_TARGET;PROGRAM_STRUCTURE_CONTEXT,FULL_POPULATION_REVIEWABLE,True,PROGRAM_YEAR_ACCOUNT,PROGRAM_LEVEL_REFERENCE_NOT_PROJECT_PERFORMANCE,False,PROJECT_FINANCIAL_CONTEXT_ONLY,code:2022:019:523:4000:4051:350,523,산업재해보상보험및예방기금,4051,산재보험급여,350,산재보험급여,7146284000000,7146284000000,6686486133980,459797866020,0,459797866020,0.9356591669152808,0.9691708507343624,0.9993979610478556,1.0,PROGRAM_BUDGET_CONCENTRATION,OBSERVATION_START,LEFT_CENSORED,CLEAR,LOW,True,True,C:\00_Sookmyunguniv\2026_SUMMER\2026 재정데이터분석경진대회(본선진출)\본선\프로젝트 수행\code\openapi 명세\실데이터\사업별결산세출지출현황\사업별결산세출지출현황_2022.csv,SINGLE_REVIEW,READY_FOR_REVIEW,125,21,51.25,52.0,12.0,10.0,44.0,False,False,SINGLE_REVIEW,3,표시된 독립 신호의 근거를 확인,LIMITED,1,0,False,PROGRAM_STRUCTURE_CONTEXT,1,1138,192,1
019:2022:사회복지:노동:4000:FUND,019,사회복지,노동,4000,2022,FUND,산재보험,PERFORMANCE_BELOW_TARGET;PROGRAM_STRUCTURE_CONTEXT,FULL_POPULATION_REVIEWABLE,True,PROGRAM_YEAR_ACCOUNT,PROGRAM_LEVEL_REFERENCE_NOT_PROJECT_PERFORMANCE,False,PROJECT_FINANCIAL_CONTEXT_ONLY,code:2022:019:523:4000:4052:350,523,산업재해보상보험및예방기금,4052,산재근로자재활복지,350,산재근로자 재활복지지원,76654000000,76654000000,76498256400,155743600,0,155743600,0.9979682260547394,0.0103957276805948,0.0003385179614545,2.0,PROGRAM_BUDGET_CONCENTRATION;MULTIPLE_FINANCIAL_SIGNALS,OBSERVATION_START,LEFT_CENSORED,CLEAR,MEDIUM,True,True,C:\00_Sookmyunguniv\2026_SUMMER\2026 재정데이터분석경진대회(본선진출)\본선\프로젝트 수행\code\openapi 명세\실데이터\사업별결산세출지출현황\사업별결산세출지출현황_2022.csv,SINGLE_REVIEW,READY_FOR_REVIEW,125,21,51.25,52.0,12.0,10.0,44.0,False,False,SINGLE_REVIEW,3,표시된 독립 신호의 근거를 확인,LIMITED,1,0,False,PROGRAM_STRUCTURE_CONTEXT,2,1139,193,2
019:2022:사회복지:노동:4000:FUND,019,사회복지,노동,4000,2022,FUND,산재보험,PERFORMANCE_BELOW_TARGET;PROGRAM_STRUCTURE_CONTEXT,FULL_POPULATION_REVIEWABLE,True,PROGRAM_YEAR_ACCOUNT,PROGRAM_LEVEL_REFERENCE_NOT_PROJECT_PERFORMANCE,False,PROJECT_FINANCIAL_CONTEXT_ONLY,code:2022:019:523:4000:4054:350,523,산업재해보상보험및예방기금,4054,산재의료사업지원,350,산재병원지원,54820000000,54820000000,54819999770,230,0,230,0.999999995804451,0.0074346256092338,4.999186556272716e-10,3.0,PROGRAM_BUDGET_CONCENTRATION,OBSERVATION_START,LEFT_CENSORED,CLEAR,MEDIUM,True,True,C:\00_Sookmyunguniv\2026_SUMMER\2026 재정데이터분석경진대회(본선진출)\본선\프로젝트 수행\code\openapi 명세\실데이터\사업별결산세출지출현황\사업별결산세출지출현황_2022.csv,SINGLE_REVIEW,READY_FOR_REVIEW,125,21,51.25,52.0,12.0,10.0,44.0,False,False,SINGLE_REVIEW,3,표시된 독립 신호의 근거를 확인,LIMITED,1,0,False,PROGRAM_STRUCTURE_CONTEXT,3,1140,194,3
075:2023:보건:보건의료:4100:RESPONSIBLE_OPERATION_ACCOUNT,075,보건,보건의료,4100,2023,RESPONSIBLE_OPERATION_ACCOUNT,국립공주병원,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;PROGRAM_STRUCTURE_CONTEXT,FULL_POPULATION_REVIEWABLE,True,PROGRAM_YEAR_ACCOUNT,PROGRAM_LEVEL_REFERENCE_NOT_PROJECT_PERFORMANCE,False,PROJECT_FINANCIAL_CONTEXT_ONLY,code:2023:075:437:4100:4132:500,437,국립공주병원,4132,공주병원정보화사업(손익),500,"공주병원 전산주요사업(정보화,손익)",94000000,94000000,82748550,11251450,0,11251450,0.8803037234042553,0.0160081743869209,0.0131354297485983,5.0,REPEATED_MODERATE_LOW_EXECUTION;PROGRAM_BUDGET_CONCENTRATION;MULTIPLE_FINANCIAL_SIGNALS,CONTINUING,,CLEAR,HIGH,True,True,C:\00_Sookmyunguniv\2026_SUMMER\2026 재정데이터분석경진대회(본선진출)\본선\프로젝트 수행\code\openapi 명세\실데이터\사업별결산세출지출현황\사업별결산세출지출현황_2023.csv,REPEATED_OR_MULTIPLE,READY_FOR_REVIEW,20,13,40.0,87.0,17.25,30.0,34.0,False,False,REPEATED_OR_MULTIPLE,1,반복·복수 신호의 원인을 세부사업과 원문에서 확인,CONFIRMED,2,2,True,PROJECT_FINANCIAL_SIGNAL,1,122,69,1
075:2023:보건:보건의료:4100:RESPONSIBLE_OPERATION_ACCOUNT,075,보건,보건의료,4100,2023,RESPONSIBLE_OPERATION_ACCOUNT,국립공주병원,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;PROGRAM_STRUCTURE_CONTEXT,FULL_POPULATION_REVIEWABLE,True,PROGRAM_YEAR_ACCOUNT,PROGRAM_LEVEL_REFERENCE_NOT_PROJECT_PERFORMANCE,False,PROJECT_FINANCIAL_CONTEXT_ONLY,code:2023:075:437:4100:4131:650,437,국립공주병원,4131,국립공주병원 운영(손익),650,공주병원 교육 및 실습 수입대체경비,59000000,81420000,59592620,21827380,0,21827380,0.7319162367968558,0.0100476839237057,0.0254822282093383,6.0,REPEATED_STRONG_LOW_EXECUTION;PROGRAM_BUDGET_CONCENTRATION;MULTIPLE_FINANCIAL_SIGNALS,CONTINUING,,CLEAR,HIGH,True,True,C:\00_Sookmyunguniv\2026_SUMMER\2026 재정데이터분석경진대회(본선진출)\본선\프로젝트 수행\code\openapi 명세\실데이터\사업별결산세출지출현황\사업별결산세출지출현황_2023.csv,REPEATED_OR_MULTIPLE,READY_FOR_REVIEW,20,13,40.0,87.0,17.25,30.0,34.0,False,False,REPEATED_OR_MULTIPLE,1,반복·복수 신호의 원인을 세부사업과 원문에서 확인,CONFIRMED,2,2,True,PROJECT_FINANCIAL_SIGNAL,2,123,70,2
075:2023:보건:보건의료:4100:RESPONSIBLE_OPERATION_ACCOUNT,075,보건,보건의료,4100,2023,RESPONSIBLE_OPERATION_ACCOUNT,국립공주병원,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;PROGRAM_STRUCTURE_CONTEXT,FULL_POPULATION_REVIEWABLE,True,PROGRAM_YEAR_ACCOUNT,PROGRAM_LEVEL_REFERENCE_NOT_PROJECT_PERFORMANCE,False,PROJECT_FINANCIAL_CONTEXT_ONLY,code:2023:075:437:4100:4131:305,437,국립공주병원,4131,국립공주병원 운영(손익),305,공주병원 병원관리 및 운영(손익),4348000000,4348000000,3550198270,797801730,0,797801730,0.8165129415823367,0.7404632152588556,0.9313882724204624,1.0,PROGRAM_BUDGET_CONCENTRATION;MULTIPLE_FINANCIAL_SIGNALS,CONTINUING,,CLEAR,HIGH,True,True,C:\00_Sookmyunguniv\2026_SUMMER\2026 재정데이터분석경진대회(본선진출)\본선\프로젝트 수행\code\openapi 명세\실데이터\사업별결산세출지출현황\사업별결산세출지출현황_2023.csv,REPEATED_OR_MULTIPLE,READY_FOR_REVIEW,20,13,40.0,87.0,17.25,30.0,34.0,False,False,REPEATED_OR_MULTIPLE,1,반복·복수 신호의 원인을 세부사업과 원문에서 확인,CONFIRMED,2,2,True,PROGRAM_STRUCTURE_CONTEXT,3,124,71,3
162:2023:과학기술:과학기술연구지원:1600:GENERAL_ACCOUNT,162,과학기술,과학기술연구지원,1600,2023,GENERAL_ACCOUNT,과학기술기반조성,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;PROGRAM_STRUCTURE_CONTEXT,FULL_POPULATION_REVIEWABLE,True,PROGRAM_YEAR_ACCOUNT,PROGRAM_LEVEL_REFERENCE_NOT_PROJECT_PERFORMANCE,False,PROJECT_FINANCIAL_CONTEXT_ONLY,code:2023:162:110:1600:1640:300,110,일반회계,1640,국제과학비즈니스벨트조성,300,국제과학비즈니스벨트조성(R&D),52132000000,61573645630,31812907590,29760738040,29493480940,267257100,0.5166643498935536,0.8151228969916818,1.0,1.0,PROGRAM_BUDGET_CONCENTRATION;MULTIPLE_FINANCIAL_SIGNALS,CONTINUING,,CLEAR,HIGH,True,True,C:\00_Sookmyunguniv\2026_SUMMER\2026 재정데이터분석경진대회(본선진출)\본선\프로젝트 수행\code\openapi 명세\실데이터\사업별결산세출지출현황\사업별결산세출지출현황_2023.csv,REPEATED_OR_MULTIPLE,READY_FOR_REVIEW,80,21,23.5,35.0,2.0,2.0,15.0,False,True,REPEATED_OR_MULTIPLE,1,반복·복수 신호의 원인을 세부사업과 원문에서 확인,CONFIRMED,2,0,True,PROGRAM_STRUCTURE_CONTEXT,1,698,167,1
162:2023:과학기술:과학기술연구지원:1600:GENERAL_ACCOUNT,162,과학기술,과학기술연구지원,1600,2023,GENERAL_ACCOUNT,과학기술기반조성,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;PROGRAM_STRUCTURE_CONTEXT,FULL_POPULATION_REVIEWABLE,True,PROGRAM_YEAR_ACCOUNT,PROGRAM_LEVEL_REFERENCE_NOT_PROJECT_PERFORMANCE,False,PROJECT_FINANCIAL_CONTEXT_ONLY,code:2023:162:110:1600:1639:402,110,일반회계,1639,연구실안전환경구축,402,연구실안전환경구축(R&D),11824000000,11824000000,11824000000,0,0,0,1.0,0.1848771030083182,0.0,2.0,PROGRAM_BUDGET_CONCENTRATION,CONTINUING,,CLEAR,HIGH,True,True,C:\00_Sookmyunguniv\2026_SUMMER\2026 재정데이터분석경진대회(본선진출)\본선\프로젝트 수행\code\openapi 명세\실데이터\사업별결산세출지출현황\사업별결산세출지출현황_2023.csv,REPEATED_OR_MULTIPLE,READY_FOR_REVIEW,80,21,23.5,35.0,2.0,2.0,15.0,False,True,REPEATED_OR_MULTIPLE,1,반복·복수 신호의 원인을 세부사업과 원문에서 확인,CONFIRMED,2,0,True,PROGRAM_STRUCTURE_CONTEXT,2,699,168,2
162:2023:과학기술:과학기술인력및문화:2300:RESPONSIBLE_OPERATION_ACCOUNT,162,과학기술,과학기술인력및문화,2300,2023,RESPONSIBLE_OPERATION_ACCOUNT,국립과천과학관운영,PERFORMANCE_BELOW_TARGET;PROGRAM_STRUCTURE_CONTEXT,FULL_POPULATION_REVIEWABLE,True,PROGRAM_YEAR_ACCOUNT,PROGRAM_LEVEL_REFERENCE_NOT_PROJECT_PERFORMANCE,False,PROJECT_FINANCIAL_CONTEXT_ONLY,code:2023:162:443:2300:2341:402,443,국립과천과학관,2341,국립어린이과학관운영,402,국립어린이과학관운영(손익계정),2569000000,2569000000,2535258850,33741150,0,33741150,0.986866037368626,0.8580494321977288,0.8854415694087477,1.0,PROGRAM_BUDGET_CONCENTRATION,CONTINUING,,RESTRICTED,HIGH,True,True,C:\00_Sookmyunguniv\2026_SUMMER\2026 재정데이터분석경진대회(본선진출)\본선\프로젝트 수행\code\openapi 명세\실데이터\사업별결산세출지출현황\사업별결산세출지출현황_2023.csv,SINGLE_REVIEW,READY_FOR_REVIEW,95,24,181.75,69.0,45.5,34.0,192.0,False,False,SINGLE_REVIEW,3,표시된 독립 신호의 근거를 확인,CONFIRMED,1,0,False,DATA_VALIDATION_FIRST,1,833,173,1
162:2023:과학기술:과학기술인력및문화:2300:RESPONSIBLE_OPERATION_ACCOUNT,162,과학기술,과학기술인력및문화,2300,2023,RESPONSIBLE_OPERATION_ACCOUNT,국립과천과학관운영,PERFORMANCE_BELOW_TARGET;PROGRAM_STRUCTURE_CONTEXT,FULL_POPULATION_REVIEWABLE,True,PROGRAM_YEAR_ACCOUNT,PROGRAM_LEVEL_REFERENCE_NOT_PROJECT_PERFORMANCE,False,PROJECT_FINANCIAL_CONTEXT_ONLY,code:2023:162:443:2300:2334:400,443,국립과천과학관,2334,건강보험부담금(책특회계),400,국립과천과학관 건강보험부담금(손익),227000000,227000000,227000000,0,0,0,1.0,0.0758183032732131,0.0,2.0,PROGRAM_BUDGET_CONCENTRATION,CONTINUING,,CLEAR,HIGH,True,True,C:\00_Sookmyunguniv\2026_SUMMER\2026 재정데이터분석경진대회(본선진출)\본선\프로젝트 수행\code\openapi 명세\실데이터\사업별결산세출지출현황\사업별결산세출지출현황_2023.csv,SINGLE_REVIEW,READY_FOR_REVIEW,95,24,181.75,69.0,45.5,34.0,192.0,False,False,SINGLE_REVIEW,3,표시된 독립 신호의 근거를 확인,CONFIRMED,1,0,False,PROGRAM_STRUCTURE_CONTEXT,2,834,174,2
